review,rating
"Alhamdulillah, Aplikasi Al Qur'an muslimpro sangat bermanfaat",5
bagus sih tapi banyak iklan,2
bagus banget doa doanya 👌💯,5
subhanallah,5
bagus sekali..membantu saya belajar ibadah,5
insyaallah ini bermanfaat bagi saya dan orang lain,5
sangat baik,5
IKLANYA GAKUAAAT SETIAP 3 DETIK DAN GA BERENTI GOKIIILLLL,1
berguna,5
sangat membantu,5
😍,5
"Alhamdulillah, semua dipermudah",5
terlalu banyak iklan. satu iklan terlalu lama durasi nya,1
"gapernah ulas aplikasi , cuma ini saking keselnya iklannya berlebihan banget spam banget yakali mau liat jadwal doang berkali kali iklannya bener bener berlebihannn",1
sering terlambat,4
enak banget kalo lagi bingung,5
okeh,5
there is still missing part from al-bayyina:8 murrotal by imam saad al-Ghamdi,5
ok,5
Masya Allah sangat membantu sekali dalam beribadah,5
Maa Syaa Allah murah banget 14000 setahun yuk berlangganan guys 🥰,5
good,5
Mantap,5
"halo saya udh beli paket premium 3 th 100.000 tetapi aplikasi tetap memunculkan iklan? padahal di google play sudah terbayar dan mutasi bank sudah ada pembayaran, bagaimana? tolong kembalikan uangnya! udh kirim email pengajuan tp blm dapet balasan dari hari jumat kemarin tgl 25 april 👎 ternyata aplikasinya ga amanah kecewa, padahal namanya muslim pro loh !!! dari kamarin dpt reply suruh pemulihan terus tapi nyatanya gabisa!!!",1
Aamiin,5
sangat memuaskan pelayanannya,5
"aplikasi musim tp full iklan. iklannya gak bagus2, pinjol dll.. maaf tolong diperbaiki jgn hanya keuntungan semata 🙏",1
apk ini tentang islam tapi iklanx judi semua,2
sangat membantu kita yg ingin mengulangi hafalan Alquran dan gak pakainribet lengkap degan tajwid dan terjemahan nya,5
fitu fiturnya lengkap tapi ya kalau mau biar dibaca ya Jangan bayar lah itu namanya ya ndak tahu lah kaya makanya makanya itu aplikasinya jangan bayar lah Jangan bayar aku nggak punya uang tapi aku kasih rating bintang 5 karena sudah berhubungan dengan muslim Abella biar dibaca sama Habib Siapa itu toh ya Jangan bayar lah,5
kurangi lah iklan nya baru download sama aja banyak iklan,1
ni aplikasi nyedot saldo gw tiba tiba,1
masya Allah,5
suka berhenti sendiri,5
baguus,5
apik,5
sangat membantu 😊,5
Alhamdulillah sangat membantu. terima kasih,5
sangat bermanfaat,5
kebanyakan iklan lah...masak iya pas baca quran iklannya muncul terus...,1
saya sedang melakukan sholat dengan tepat waktu tapi kurang tulisan rakaat saja semoga di update,3
sangat membantu,5
"Alhamdulillah, membaca Alquran dan artinya jadi lebih mudah. Bisa kapan saja. Pengingat sholat juga sangat membantu sholat tepat waktu.",5
AlhamdulilLAH sangat membantu,5
bagus,5
semoga bisa bermanfaat.,5
"Kebanyakan iklan bikin males buka aplikasinya, mana gak bisa di skip iklannya.",1
iklannya sangat mengganggu,1
👍👍👍,5
terbaik,5
saya suka aplikasi ini dan terima kasih karena menjadi premium begitu murah...,5
Kenapa Adzan saat berkumandang tapi tidak tuntas. mohon perbaikannya 🙏,5
sudah pakek aplikasi ini dari lama. kecewa sekarang banyak banget iklannya dan sering minta update. yang wajar saja iklannya . soalnya jadi males buka aplikasinya. cuma mau lihat jadwal terbit aja jadi lama karena harus nunggu iklan. saya paham memang sebaiknya gunakan premium. tapi jadi cukup malas dengan aplikasi ini meskipun manfaatnya banyak,3
mantap,5
"gw bisa aja obrak Abrik codingan cantolan iklan untuk di hilangkan, mumpung gw lagi baik ya, di cek lagi itu filter iklannya, iklan pinjol nongol ikut nimbrung, gimana ceritanya, ini sama saja seperti masuk masjid main GAPLEK, (payah).",3
mumtaz,5
good job,5
pendirinya non muslim,3
"banyak bgt iklan,",1
tidak ada terjemahannya saat buka Alquran,3
aku ingin menjadi lebih baik dan berarti untuk ku dan keluargaku terutama anak anaku,5
kok pas waktu solat nggak ada azannya ya,1
lumayan,3
sangat bermanfaat dan membantu,5
Mantap,5
sangat baik untuk mengingatkan waktu sholat,5
"aplikasinya sudah bagus membantu bgt, cuman kalo bisa kurangin iklan pinjol nya, karna menurut saya kurang pantas aja ini aplikasi kental banget dengan agamis tidak sepantasnya meng iklan kan pinjol🙏🙏🙏",5
"saya ganti Samsung galaxy S25 , murojaah surat² alquran bagaimana cara menandai di ayat tertentu ?!.",5
"Barakallah Bitsmedia.... Alhamdulillah dengan aplikasi Muslim Pro ini, segala kemudahan saya dapat untuk dapat beribadah yang lebih baik lagi.",5
bagus sekali saya jadi tidak lupa sholat,5
Alhamdulillah,5
aplikasi nya membantu sekali,1
"Astaghfirullah iklan nya banyak banget, mau buka jadwal sholat saja mesti 2-3x terlebih dahulu lewati iklan.",2
Alhamdulillah membantu banar untuk membaca2 amaliah tanpa harus membawa buku khusus Terimakasih Ponpes Almursyidul Amin🙏,5
terlalu banyak iklan,1
bagus sekali,5
aplikasi ini hebat aku dari tidak tahu membaca Alquran jadi tahu aplikasi sangat hebat,5
"kebanyakan iklan, nyari duit lewat aplikasi agama, ydh gitu iklan nya ga senonoh, mudahan tobat deh lu, aplikasi untuk mengingatkan solat malah du pake ajang cari duit dengan iklan yg tidak senonoh.",1
InsyaAllah bermanfaat,5
bagus,5
Iye syng semoga sehat selalu dan,4
mantab,5
"maaf! saat perangkat saya masih di android 10 notifikasi adzan masih berfungsi dengan sangat baik, tapi di android 11 notifikasi adzan tidak berfungsi sama sekali. Notifikasi adzan adalah alasan utama saya menginstal aplikasi ini, saya sampai sempat berlangganan premium, tapi hasilnya nihil, maaf! saya harus uninstall aplikasi ini.",1
alhamdulillah akp ini sangat bagus,5
sangat bagus dan baik,5
saya jadi bisa adzan,5
sangat memuaskan,5
cb dulu kalu banyak iklan di hapus,3
"terima kasih untuk muslim pro karena, berkat aplikasi ini saya bisa lulus ujian tahfidz 😁 jadi aku kasih 10000/10 mantap🔥🔥👍👍",5
knpa muslim pro ko iklanya judi slot g bgus bnget itu saring dong iklany jg asal cuan aja,3
so good,5
"makin ribet menunya, biasa nya ad pelacak waktu sholat tinggal berapa menit lg, skrg malah kebanyakan menu, pindah2 mulu menu pelacak waktu sholat nya, update terbaru skrg malah hilang, ya dah deh, ganti aplikasi sebelah aj, yg masih ad pelacak waktu sholatnya, makasih dah menemani selama ini, bye...",3
apk nya bagus banget paling mines dikit ada iklannya sisanya bagus bgt :3,4
sangat membantu,5
"apknya ga gratis. ada paket bulanan gitu lah, terus pas pertama kali pake harus ada iklannya kalo gratis. terus juga ga bisa pake kompas buat tau arah kiblat soalnya perankatku ga ada🗿🙏",3
kenapa adzan tidak aktif,5
ok,5
i love it,5
good,4
"iklannya banyak bgt, jadinya males di uninstal lg",1
banyak iklan saya sangat pusing kepala,2
sangat membantu❤️,5
"fiturnya bagus lengkap tapi sayang walu sudah pake premium tetep ada iklannya, padahal pake premium supaya tidak ada iklan lagi",5
sangatlah bermanfaat,5
👍👍👍 bermanfaat,5
"Overall bagus, tapi ada satu ayat yang hurufnya tidak ada harakatnya yaitu di surat muhammad ayat 4 setelah bacaan faimma, tolong diperbaiki!",4
bagus sangat berguna sesuai dengan yg saya butuhkan,5
tidak ada halaman pencarian,1
masak adzan harus bayar,1
sangat bagus sekali untuk mengetahui waktu masuk sholat lima waktu dan pengetahuan umum yang terjadi di belahan dunia manapun,5
"udah bagus ga usah upgrade ""mulu",2
banyak fitur yang menarik,5
sangat bermanfaat dan tepat waktu untuk melaksanakan ibadah sholat,5
bagus singkat dan padat,5
Qren boss,5
"sejak download aplikasi ini jadi kita bisa lacak sholat dan puasa supaya tetep inget dan ada tasbih digitalnya juga, jadi kalo gak punya tasbih bisa pake tasbih di hapee cucok dehh❤️❤️",5
alhamdulillah aplikasi yg sangat bermanfaat untuk at muslim... 🥰🥰🥰,5
ikhlan terlalu byk mo buka lgsg iklan kluar jg ikhlan cpek bgt ky ya,1
terlalu banyak iklan,1
ini iklannya kok kebanyakan iklan judol si🌝,4
bagus sekali,5
sponsor mengurangi daya minat mengaji lagi,1
sangat membantu,5
"iklannya bikin istighfar banyak banget , lama pula",1
bagus dan berguna,5
gue dah bayar Ampe abis 65 rebu tetap aja iklannya nongol..pigamana sih .. akhirnya maaf gue uninstall lagi. rugi 2 dah. aplikasinya diperbaiki lahhh ....,1
"iklan nya ganggu banget, iya kalo bisa di close ini engga bisa samsek apa lagi iklan game yang harus di mainin dulu iklan nya tolong kedepan nya iklan iklan yang mengganggu di fillter aja lah jadi user mau liat jadwal shalat ke ganggu sama kadang suara adzan nya ada issue suka lewat dari waktu shalat malah kadang engga ada samsek",1
puas,5
"Jelek, banyak iklan, mo liat jadwal shalat aja susah.",1
"notif adzan subuh terlambat, notif adzan isya kecepetan",3
oke punya,5
biar hpe nya bermanfaat,5
"cuman mau buka jadwal shalat. pas buka aplikasi, iklannya minta ampun ya Allah. buaanyaaak banget",1
semoga bermanfaat aplikasi ini,5
KUN FAYAKUN🤲🤲🤲🤲,5
Banyak iklan mengganggu...,1
bikin mandiri sholat deh mendidik banget!,5
iklan terus,1
sangat-sangat membantu saya dalam semua tentang islam,5
sangat bermanfaat..,5
hope full app,5
terlalu banyak iklan ga penting,3
"Subhanallah, terimakasih",5
good,5
uninstal bnyk iklan mau liat waktu sholat ditutupin iklan,1
masyaallah bagus sekali tararakawlah,5
"MashaAllah ikLan parah banget, terlalu lama, sampai sangat menjengkelkan. hadehh",1
"*السَّلاَمُ عَلَيْكُمْ وَرَحْمَةُ اللهِ وَبَرَكَاتُهُ* Kami sudah membayar biaya berlangganan per 16 April 2025, kenapa masih ada iklan yang muncul, mohon untuk dibenahi agar kami tetap bisa menikmati muslim pro tanpa terganggu iklan🙏",5
"kebanyakan iklan, tolong dikurangin dong. kalo lagi perlu bgt liat apk suka lama gara-gara iklan",3
sebaiknya iklannya dikurangi soalnya sangat menganggu,2
masyaallah tabarakallah,5
"tolong kenapa jadi ada batas perangkat 1 device, saya ada 2 hp untuk sehari hari dan terpakai untuk ganti gantian, masa gabisa dipake salah 1 nya",1
Aplikasi Alqiur'an yg sesuai dgn kebutuhan saya.. perfect aplidation... l,5
Aplikasinya keren dan sangat bermanfaat. full version segera upgtade ke premium hanya belasan ribu saja untuk puluhan bahkan ratusan manfaat. Baarakallah. smoga menjadi pahala jariyyah bagi penemu aplikasi ini. 😇🤲,5
mantapp,5
semoga berkah,5
kebanyakan iklan,1
"review terbaru April 2025, aq uninstall ganti aplikasi yang g banyakan iklan.... Apaan adzanya g bisa bunyi. Padhal notif dah on.",2
saya sudah membayar paket langganan premium kenapa di aplikasi masih muncul iklan & minta diupgrade ke premium lagi?,3
try⁵,1
GA GUNA,1
sangat membantu dalam proses mengingatkn 5 waktu solat & adzan,5
sangat bermanfaat,5
jangan ragu aplikasi yang membantu untuk setiap muslim dimanapun berada.,5
like,5
"satu aplikasi untuk semua keperluan ibadahnu, jadikan muslim pro sebagai pendamping dalam belajar dan menggali banyak hal dalam ibadah yang lebih khusyuk..",5
versi gratisnya sekarang banyak iklannya & iklannyapun panjang² banget.. gak kyak dulu waktu belum se rame sekarang yg download.. mending beralih ke aplikasi yg lain saja.,1
bagus. untuk membimbing kita ke akhir yang baik,5
"Sangat bermanfaat, terima kasih.",5
ini mengajarkan kita untuk dekat terus bersama Allah swt,5
"sangat bagus, dengan jadwal waktu shalat yg tepat",5
kok bisa ya aplikasi Al-Qur'an gini ada iklan pinjaman online nya 😒,5
bagus semoga terus berkembang lebih baik,5
baik sekali,5
so far so good,5
Aplikasi yang bagus,5
"Ukuran al quran sering terpotong, pada saat memperbesar atau memperkecil ukurannya",1
terlalu banyak iklan,1
"masya allah aplikasih nya sangat baguss dan kita bisa bermain kuis,menghafal,membaca al qur'an dan lain lain",5
Bagus sangat berguna,5
Alhamdulillah🙏🙂,5
"alangkah banyak iklan nya , jadi nggak enak lagi",1
terlalu ribet dibuka dan melibatksn iklan. Seakan Agama saja dibisniskan. apapun alasannya.,5
ada beberapa kesalahan di surah al buruj di Arab nya fathah tapi di Latin nya kasrah,3
"Bagus banget aplikasinyaa sangat membantuu untuk ibadah dan belajar mendalami Al Qur'an, sukaa bangett🫰🏻🫰🏻",5
Alhamdulillah,5
"𝒂𝒑𝒍𝒊𝒌𝒂𝒔𝒊 𝒏𝒚𝒂 𝒃𝒂𝒈𝒖𝒔,𝒕𝒂𝒎𝒑𝒊𝒍𝒂𝒏 𝒇𝒐𝒏𝒕 𝑨𝒓𝒂𝒃 𝒏𝒚𝒂,𝒌𝒂𝒅𝒂𝒏𝒈 𝒂𝒅𝒂 𝒚𝒂𝒏𝒈 𝒌𝒆 𝒑𝒐𝒕𝒐𝒏𝒈,𝒉𝒂𝒓𝒂𝒌𝒂𝒕𝒏𝒚𝒂 𝒂𝒅𝒂 𝒋𝒖𝒈𝒂 𝒚𝒂𝒏𝒈 𝒂𝒈𝒂𝒌 𝒏𝒆𝒎𝒑𝒆𝒍 𝒂𝒕𝒂𝒖 𝒃𝒂𝒉𝒌𝒂𝒏 𝒕𝒊𝒅𝒂𝒌 𝒕𝒆𝒓𝒍𝒊𝒉𝒂𝒕 𝒅𝒆𝒏𝒈𝒂𝒏 𝒋𝒆𝒍𝒂𝒔,𝒕𝒆𝒓𝒌𝒆𝒔𝒂𝒏 𝒏𝒖𝒎𝒑𝒖𝒌. 𝑴𝒐𝒉𝒐𝒏 𝒅𝒊 𝒑𝒆𝒓𝒃𝒂𝒊𝒌𝒊 𝒚𝒂 𝑫𝒆𝒗.",5
mkcihhh bagus,5
kebanyakan iklan..jafi males,3
aplikasi ini gimana ya pembohong besar apa gimana ya saya sudah beli paket premium yang tahunan tapi tidak bisa aktif sudah satu bulan lamanya saya nga percaya sama aplikasi ini pembong besar,1
lama² kebanyakan iklan jd ajang matrialistis bukan pahala,1
terlalu banyak iklan dan berbayar. iklannya pun iklan yang tidak pantas di aplikasi islami karena mengandung porno dan judol. semoga developer sadar dan segera memperbaiki,2
"TERLALU BANYAK IKLAN,MEMAKSA SECARA HALUS UTK BERLANGGANAN.. sangat tidak ramah utk yg free",2
subhanallah semoga aku bisa ingat waktu sholat setelah pakaian apk ini,5
nice app,5
bagus banget tapi kurangngin dikit iklan udh bagus banget deh,5
mantap,5
efisiens,5
"Masya Allah, Alhamdulillah... Bersyukur dapat mendownload App Muslim Pro ini, tampilan layarnya bagus, App Offline (dapat digunakan tanpa internet) dan lain². Pokoknya Top banget deh,, Terima kasih ya, yang membuat Aplikasi ini🙏🏻🤗",5
"good aplication to remind sholat, i very like this aplication. tq",5
"Kenapa ada iklan nya mohon diperbaiki lagi kalau bisa jangan ada iklan +perbayarnya soalnya kan sama"" pengingat sholat buat ibadah kalau bisa iklannya mohon dihilangkan secara permanen baru dibilang aplikasinya sangat bagus🙏",1
barusan aku liat apps sebagus ini😭 kalian perlu bgt sih pakai aps ini krn emng sebagus ituu,5
nice sangat bagus,5
sangat bagus,5
kecewa sudah 4 tahun pakai ini sekarang iklannya gak ngotak🤬,1
murah bngt premiumnyaa,5
jadwal waktu sholat dan suara adzan tidak sinkron. kok bisa gitu sih. bikin bingung,5
banyak iklan gak jelas 👎👎👎,1
di-update terbaru aplikasinya tidak bisa dibuka di HP saya. muncul iklan kaya game online terdapat iklan game online yang menghasilkan uang. iklan seperti ini tidak cocok di dalam aplikasi yang digunakan ibadah,4
alhamdulillah berguna berguna sekali aplikasi ini,5
terlalu banyan iklan yang mucul,3
❤❤❤❤❤❤,5
Good app,5
"makin ke sini makin terganggu, iklannya banyak banget",1
"masyaallah,Alhamdulillah surah nya lengkap, terimakasih yang sudah membuat aplikasi ini untuk membaca Alquran dengan mudah dan simple",5
Berguna utk mengingatkan waktu sholat. Tapi tolong kok akhir2 ini notifikasi adzan sering delay yah. padahal dulu selalu tepat waktu,4
Bagus,5
"bener2 pro iklan nya keren banget . aplikasi muslim iklannya judi online 👏👏👏 . next iklan 18+ min , terus iklannya kalau bisa tiap buka aplikasi dan tiap buka fitur sholat atau fitur2 lainnya biar makin pro lagi . sayang dong aplikasi muslim gak bikin iklan yang aneh2 . good job",1
"great apps, really helpful 😆",5
upaya nya menghadirkan Al Qur an digital saya ucapkan terimakasih iklannya yg lebih layak dan pantas,1
tidak oh tidak,1
tolong tambahkan 5 menit sebelum adzan. terima kasih,5
suka nge bug. perbailki apk nya,3
saya suka dengan muslim pro ini,5
bgus,5
Alhamdulillah. aplikasi Muslim Pro membantu mengingatkan Sholat,5
oke,3
"Now, Too many ads, its annoying",3
saya lagi mencari Refrenci di aplikasi Muslim Pro agar dapat mengetahuinya dg baik dan benar moga saja bermampa'at,5
"banyak aplikasi lain yang nyaman buat beribadah,aplikasi ini sangat tidak direkomendasikan. aplikasi lain juga membutuhkan sumber daya untuk pengembangan, peningkatan pemeliharaan aplikasi agar selalu nyaman digunakan, tp mereka tidak memaksa para pengguna untuk membayar, mereka hanya memberikan fitur/menu semacam sedekah, namanya sedekah boleh iya boleh tidak, walau tidak mau sedekah, aplikasi tetap nyaman digunakan. dan pengguna lebih iklas membayar sedekah daripada membayar untuk alasan iklan",1
"muslim pro tapi iklanya pinjol,",1
"terlalu banyak iklan, padahal saya sudah pernah berlangganan. tp gak bisa di pakai lagi.",1
simple,5
kalo putar quran sekarang suka mati sendiri. padahal bertahun-tahun yang dulu biasa aja,1
5 bintang,5
kenapa setelah di perbarui penanda tidak muncul,4
best,5
terlalu banyak iklan,3
mengeçewakan mau buka waktu solat effort nya dah kaya main game,1
"aplikasi gratis maklum ada iklan, tetapi kali ini iklannya luar biasa tdk umum. skip cari aplikasi islami yang lebih baik dari ini.",1
"APLIKASI ""MUSLIM"" IKLANNYA JUDOL",2
kebanyakan iklan,2
"muslim pro sebenarnya sangat membantu, tapi sayang sekali banyak iklan dan ada beberapa iklan yang tidak sesuai dengan app. mudahan ada perubahan kedepannya",1
"aplikasi yang sangat membantu kita dalam agama,",5
very helpful,5
"Saya langganan per bulan Rp 9.000,- Coba tolong jelaskan kenapa fiturnya masih ter lock. ??? Jangan dzalim lah, ini saya bayar krn biar full fitur di aplikasi ini, skrg mau di stop pembayarannya, gak bisa bisa, ke sedot terus Rp 9.000 -------‐--------------------------- 11 April 2025 Dan untuk kesekian kalinya masih tertipu lagi dgn fitur no iklan bayar 11 ribu Ternyata penipu aplikasi ini Astagfirullah..",1
subhanallah,5
Oke,4
bagus,5
"kebanyakan iklannya, mau liat waktu sholat aja hrus ngelewatin 3 iklan, ntr ada lagi iklannya",3
saya sudah perpanjang aplikasi tapi iklan nya tetap muncul bisa di bantu,5
"sekarang kebanyakan iklan gak kayak dulu, mau cek jadwal jam sholat aja jadi ribet!",1
banyak iklan bos,1
"ada ayat yang kepotong kalau buka pake hp, tolong diperbaiki margin atau paddingnya. ukuran ayatnya jadi ga fleksibel dengan beberapa ponsel.",3
banyak iklan,1
masya allah tempat saya belajar hijrah dan membaca alquran,5
kebanyak iklan. dunia terus yang dcari. sekali dakwah ngluarin dwit,1
cukup baik,4
barakallah,5
isinya iklan semua,1
ga bunyi jadi kalo sholat suka telat padahal udah di nyalain,3
bagus untuk kita tau jadwal sholat,5
sangat bagus,5
saya kasih bintang 5 semoga bermanfaat buat saya,5
terlalu iklan,1
Alhamdulillah,5
Alhamdulillah saya dapat tawaran langganan premium dengan biaya 14 ribu / tahun,5
Alhamdulillah,5
"Alhamdulillah, sangat membantu. updated apk terus utk memberikan layanan terbaik kpd umat. Tetap semangat kebaikan.",5
kebanyakan iklannya .kurang pas,3
makin kesini makin susah di gunakan iklan nya kebanyakan,2
guna pokoknya bagi yang lebih mau mendekatkan diri ke ALLAH,5
rusak nih aplikasi..,1
aplikasi nya bagus tp kok setelah bulan Ramadhan lewat ashar nya jadi jam 16:26 emang iya?? trus kalo bisa kurangin iklannya terima kasih,4
"Eh kalian kalo mau masukin iklan pilih2 juga, ini aplikasi muslim tapi iklan cewek yg nampak aurat, pake baju lengan sebelah. nyari duit boleh tapi jangan sampai org mengutuk kalian😡😡",2
"mau ngaji tidak bisa diwakilkan Ama PK ustad ,/ ustajah boleh di android",5
makin kesini jadi kebanyakan iklan,2
Pls semoga dapet premium hehe,5
TERALALU BYK IKLAN KCK,1
oke banget,5
terlalu banyak iklan ! harus berbayar ! maksa! ribet ! uninstall segera,1
baru Al-fatihah SDH beberapa kesalah,1
